qID	sentence	option1	option2	answer	catégories syntaxiques	catégories sémantiques
3MZ3TAMYTLL5OU4GHXJ7879WIBGRIT-2	Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were savory.	chocolates	nuts	2	BECAUSE (2 phrases) 	
3MZ3TAMYTLL5OU4GHXJ7879WIBGRIT-1	Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were sweet.	chocolates	nuts	1	BECAUSE (2phrases) 	
3909MD9T21VBZOWSEH5MY1LUCSHFE2-1	James was looking if there is any space to put the book into the shelf. The _ is small.	space	book	1	IF THERE IS + 1phrase	
3909MD9T21VBZOWSEH5MY1LUCSHFE2-2	James was looking if there is any space to put the book into the shelf. The _ is big.	space	book	2	IF THERE IS + 1phrase	
3SNR5F7R947V9FYIFPB71YYMSK9EIS-1	James was writing a poem on his jotter when the ink finished. The _ is a long .	poem	ink	1	WHEN + 1phrase	
3SNR5F7R947V9FYIFPB71YYMSK9EIS-2	James was writing a poem on his jotter when the ink finished. The _ is a low.	poem	ink	2	WHEN + 1phrase	
34F34TZU7WXKFL71KPP6J0GOJZ2J2X-2	The couple drank wine out of glasses instead of mugs, because the _ were clean.	mugs	glasses	2	INSTEAD + BECAUSE	
34F34TZU7WXKFL71KPP6J0GOJZ2J2X-1	The couple drank wine out of glasses instead of mugs, because the _ were dirty.	mugs	glasses	1	INSTEAD + BECAUSE	
37PGLWGSJVKYVFQSBBMAZTBQBYPKIX-1	Dividing the candy was more difficult than dividing the apples because every kid wanted the _ .	candy	apples	1	THAN + BECAUSE	comparaison degré
37PGLWGSJVKYVFQSBBMAZTBQBYPKIX-2	Dividing the candy was more difficult than dividing the apples because no kid wanted the _ .	candy	apples	2	THAN + BECAUSE	comparaison degré
3O4VWC1GEW49033KOP3B2ALGKZ73J0-1	Brian wanted to be a home based administrative assistant and Kenneth didn't because _ liked staying at home.	Brian	Kenneth	1	(négation) + BECAUSE	
3O4VWC1GEW49033KOP3B2ALGKZ73J0-2	Brian wanted to be a home based administrative assistant and Kenneth didn't because _ did not like staying at home.	Brian	Kenneth	2	(négation) + BECAUSE + (négation) 	
3B6F54KMR2A6P38VOFY66IX6ND11SG-2	Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.	Brian	Kevin	2	SO	
3B6F54KMR2A6P38VOFY66IX6ND11SG-1	Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.	Brian	Kevin	1	SO	
3APP19WN73SD09Z8JJS64YTSV1P6GK-2	William forgot about all the times when Ian saved them, despite how _ was generally self-sacrificing.	William	Ian	2	WHEN + DESPITE	
3APP19WN73SD09Z8JJS64YTSV1P6GK-1	William forgot about all the times when Ian saved them, because _ was generally self-involved.	William	Ian	1	WHEN + BECAUSE	
3CMIQF80GP44DYTMMFXIYCXU1CV6QO-2	Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in Korea.	Katrina	Felicia	2	SO	
3CMIQF80GP44DYTMMFXIYCXU1CV6QO-1	Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in the US.	Katrina	Felicia	1	SO	
3HEA4ZVWVF0J18AAX4ZA8VO39BB55O-2	Jason denied Ian's passport application because _ did not provide the correct paperwork in time.	Jason	Ian	2	BECAUSE (+négation)	
3HEA4ZVWVF0J18AAX4ZA8VO39BB55O-1	Jason denied Ian's passport application because _ did not receive the correct paperwork in time.	Jason	Ian	1	BECAUSE (+négation)	
32L724R85LIKCHO145FI3C9HHSMIPK-2	I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too weak.	Vanilla	tea tree	2	BUT + BECAUSE	
32L724R85LIKCHO145FI3C9HHSMIPK-1	I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too strong.	Vanilla	tea tree	1	BUT + BECAUSE	
3LN50BUKPXP1W7VE96OVNQPINZBPLG-2	I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is harder to kick.	soccer	foot	2	THAN + SINCE	comparaison préférence
3LN50BUKPXP1W7VE96OVNQPINZBPLG-1	I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is easier to kick.	soccer	foot	1	THAN + SINCE	comparaison préférence
3I4E7AFQ2KXEZK1E3492KNPEER2TJB-1	Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat down.	Kyle	William	1	WHILE + SO	
3I4E7AFQ2KXEZK1E3492KNPEER2TJB-2	Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat up.	Kyle	William	2	WHILE + SO	
3PIOQ99R7YKPIN7OI7R4IQSX6RPUNM-2	William wanted an egg for breakfast, but Kevin ate the last one, so _ had to give them cereal.	William	Kevin	2	BUT + SO	
3PIOQ99R7YKPIN7OI7R4IQSX6RPUNM-1	William wanted an egg for breakfast, but Kevin ate the last one, so _ had to eat cereal.	William	Kevin	1	BUT + SO	
3LN3BXKGC29BUOEEA15A2SS5J15WGU-2	The woman sprayed cleaner on the mirror but skipped the countertop because the _ was clean.	mirror	countertop	2	BUT + BECAUSE	
3LN3BXKGC29BUOEEA15A2SS5J15WGU-1	The woman sprayed cleaner on the mirror but skipped the countertop because the _ was dirty.	mirror	countertop	1	BUT + BECAUSE	
3JY0Q5X05LKFX2OEVW1SGP6IQKYGGF-2	Justin wrote a paragraph in his planner every day unlike Matthew because _ was disorganized.	Justin	Matthew	2	UNLIKE + BECAUSE	
3JY0Q5X05LKFX2OEVW1SGP6IQKYGGF-1	Justin wrote a paragraph in his planner every day unlike Matthew because _ was organized.	Justin	Matthew	1	UNLIKE + BECAUSE	
3UOMW19E6D4P64KISGAIU365DNSC5H-2	The children could only count the number of balls in one jar and not the beans in the other because the _ were too numerous.	balls	beans	2	(négation) + BECAUSE	
3UOMW19E6D4P64KISGAIU365DNSC5H-1	The children could only count the number of balls in one jar and not the beans in the other because the _ were more manageable.	balls	beans	1	(négation) + BECAUSE	
33W1NHWFYHJ4ZZ6ILQCO8HD4XV4TZX-1	Erin is known an an entrepreneur while Victoria is only an employee because _ owns a business.	Erin	Victoria	1	WHILE + BECAUSE	
33W1NHWFYHJ4ZZ6ILQCO8HD4XV4TZX-2	Erin is known as an entrepreneur while Victoria is only an employee because _ doesn't yet own a business.	Erin	Victoria	2	WHILE + BECAUSE (négation) 	
30Y6N4AHYPUOGJOUPJIWHATJQ9LDRW-2	Since _ arrived at work later Dennis would eat their lunch before Adam in the break room at their job.	Dennis	Adam	2	SINCE + BEFORE	
30Y6N4AHYPUOGJOUPJIWHATJQ9LDRW-1	Since _ arrived at work sooner Dennis would eat their lunch before Adam in the break room at their job.	Dennis	Adam	1	SINCE + BEFORE	
3ZFRE2BDQ9CBGGF2Q0DLXKYAANVZXH-1	The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being hungry.	Neil	Samuel	1	_	
3ZFRE2BDQ9CBGGF2Q0DLXKYAANVZXH-2	The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being satiated.	Neil	Samuel	2	_	
3MDWE879UJG4RBTV1434NXTX5R0B9I-2	After Logan contracted the chickenpox from Joseph so _ spent the day sending nice texts about it.	Logan	Joseph	2	_	
3MDWE879UJG4RBTV1434NXTX5R0B9I-1	After Logan contracted the chickenpox from Joseph so _ spent the day sending mean texts about it.	Logan	Joseph	1	_	
31ANT7FQN80GNCVYE8OJ5U3LQEB5HV-1	The man wanted to put the luggage in the house but the _ was too small.	house	luggage	1	_	
31ANT7FQN80GNCVYE8OJ5U3LQEB5HV-2	The man wanted to put the luggage in the house but the _ was too large.	house	luggage	2	_	
3MDWE879UJG4RBTV1434NXTX5T39BN-2	The experience was totally unforgettable for Betty but not Samantha because _ had dreaded it for months.	Betty	Samantha	2	BECAUSE	
3MDWE879UJG4RBTV1434NXTX5T39BN-1	The experience was totally unforgettable for Betty but not Samantha because _ had anticipated it for months.	Betty	Samantha	1	BECAUSE	
3YGYP13643NCWKEEYB8Z5DTLS2KNR6-1	Kyle got a new cell phone and showed it to Leslie because _ was happy about the new phone.	Kyle	Leslie	1	BECAUSE	
3YGYP13643NCWKEEYB8Z5DTLS2KNR6-2	Kyle got a new cell phone and showed it to Leslie but _ was upset about the new phone.	Kyle	Leslie	2	_	
3YLPJ8OXXARA78QKP5ZVVM9A3A94X6-1	When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more of an inconvenience.	bath	heating pad	1	_	
3YLPJ8OXXARA78QKP5ZVVM9A3A94X6-2	When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more convenient.	bath	heating pad	2	_	
3ZQX1VYFTD392B0NGJQC1NAD4V4O8S-1	Neil agreed to help wash Adam's large dog, and _ was very eager to help.	Neil	Adam	1	_	
3ZQX1VYFTD392B0NGJQC1NAD4V4O8S-2	Neil agreed to help wash Adam's large dog, and _ was very grateful for the help.	Neil	Adam	2	_	
3L60IFZKF5W7XUE0Z81SMPUKLT4HHD-2	Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be American.	Lindsey	Rachel	2	_	
3L60IFZKF5W7XUE0Z81SMPUKLT4HHD-1	Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be British.	Lindsey	Rachel	1	_	
3K8CQCU3KGFH4GV0X5I5SC12KHZNW9-1	It was clear that Jessica understood and was entertained by the article from Monica because _ was the reader.	Jessica	Monica	1	BECAUSE	
3K8CQCU3KGFH4GV0X5I5SC12KHZNW9-2	It was clear that Jessica understood and was entertained by the article from Monica because _ was the writer.	Jessica	Monica	2	BECAUSE	
3W3RSPVVGU5EOC3AQSNPXWCGUI3ULI-2	In an effort to control kennel cough, Emily sent Maria to get the medication but _ was busy examining the animals.	Emily	Maria	2	_	
3W3RSPVVGU5EOC3AQSNPXWCGUI3ULI-1	In an effort to control kennel cough, Emily sent Maria to get the medication because _ was busy examining the animals.	Emily	Maria	1	BECAUSE	
3BC9H1KCYUAWMQ07K9FGHUB108VWY7-1	Jan poured the entire cup of lemon juice into the bowl bananas until the _ was empty.	cup	bowl	1	_	
3BC9H1KCYUAWMQ07K9FGHUB108VWY7-2	Jan poured the entire cup of lemon juice into the bowl bananas until the _ was full.	cup	bowl	2	_	
3MQKOF1EE2MTOF5GODS24910D6FWDS-2	The insurance company blamed Leslie instead of Logan for the accident since _ had a green light.	Leslie	Logan	2	_	
3MQKOF1EE2MTOF5GODS24910D6FWDS-1	The insurance company blamed Leslie instead of Logan for the accident since _ ran a red light.	Leslie	Logan	1	_	
3N5YJ55YXG153ETQC2ADIPG345GANC-1	The chef decided to store the food in the container but the _ was too large.	food	container	1	_	Consequence-cause
3N5YJ55YXG153ETQC2ADIPG345GANC-2	The chef decided to store the food in the container but the _ was too small.	food	container	2	_	Consequence-cause
3TFJJUELSHNX771VAX8KWW3TTFCC2V-1	My sister enjoyed writing on the blog more than in her journal, because the _ for everyone to see.	blog	journal	1	BECAUSE	comparaison préférence
3TFJJUELSHNX771VAX8KWW3TTFCC2V-2	My sister enjoyed writing on the blog more than in her journal, because the _ for nobody to see.	blog	journal	2	BECAUSE	comparaison préférence
3ODOP6T3AUY96SNN1GE25WFER5142X-1	Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had more sun damage.	Derrick	Jeffrey	1	_	Implication
3ODOP6T3AUY96SNN1GE25WFER5142X-2	Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had less sun damage.	Derrick	Jeffrey	2	_	Implication
3NQUW096N8MG4KF7SHSY10P3IVT9L5-1	This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was juicy.	burger	sushi	1	_	_pas winograd
3NQUW096N8MG4KF7SHSY10P3IVT9L5-2	This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was raw.	burger	sushi	2	_	_pas winograd 
3VGET1QSZ0XD7646X0PG4HR4W9E7W9-2	the statistics show many females compared to the males are being born everyday, the _ are few.	females	males	2	_	
3VGET1QSZ0XD7646X0PG4HR4W9E7W9-1	the statistics show many females compared to the males are being born everyday, the _ are many.	females	males	1	_	
3TCFMTM8HG2SETQ4EYV07Y8BFL721Y-2	Robert made the choice to buy Neil's house, so _ had a lot more money in the bank afterwards.	Robert	Neil	2	_	
3TCFMTM8HG2SETQ4EYV07Y8BFL721Y-1	Robert made the choice to buy Neil's house, so _ had a lot less money in the bank afterwards.	Robert	Neil	1	_	
3RWB1RTQDL16H0BVFHFRIL3C3XW8PT-2	The medical exam for the broken arm was longer than the exam on the heart because the _ was a serious problem.	heart	arm	2	BECAUSE	
3RWB1RTQDL16H0BVFHFRIL3C3XW8PT-1	The medical exam for the broken arm was shorter than the exam on the heart because the _ was a serious problem.	heart	arm	1	BECAUSE	
3ACRLU860NC6SIL5PH7QND603EIEB1-2	When opening up about their crushes, Kenneth sighed at Jeffrey because _ forgot who their crush was.	Kenneth	Jeffrey	2	BECAUSE	
3ACRLU860NC6SIL5PH7QND603EIEB1-1	When opening up about their crushes, Kenneth laughed at Jeffrey because _ remembered who their crush was.	Kenneth	Jeffrey	1	BECAUSE	
3R6RZGK0XHQY1QZ9EXMKNQGWI2FVYY-1	Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor entered the _ because Jack was receptive to it.	math	sociology	1	BECAUSE	
3R6RZGK0XHQY1QZ9EXMKNQGWI2FVYY-2	Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor deleted the _ because Jack was resistant to it.	math	sociology	2	BECAUSE	
3WUVMVA7OB1ZK379FQL7DCNC925ZAW-1	Christopher wanted to be a specialist but not Adam because _ had an interest in a limited number of subjects.	Christopher	Adam	1	BECAUSE	
3WUVMVA7OB1ZK379FQL7DCNC925ZAW-2	Christopher wanted to be a specialist but not Adam because _ had an interest in a many number of subjects.	Christopher	Adam	2	BECAUSE	
3S37Y8CWIAEVI8LUF039T3V2T04W4N-2	Megan enjoyed summer while Felicia did not.   _  spent much time indoors.	Megan	Felicia	2	_	
3S37Y8CWIAEVI8LUF039T3V2T04W4N-1	Megan enjoyed summer while Felicia did not.  _  spent much time at the beach.	Megan	Felicia	1	_	
3OEWW2KGQLP0DVVLHPDSFDCN5IJDO8-2	John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is weak.	glue	wallpaper	2	_	
3OEWW2KGQLP0DVVLHPDSFDCN5IJDO8-1	John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is strong.	glue	wallpaper	1	_	
3VJ4PFXFJ35IY4DZ93MZWK8XC3SAUR-2	The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was boring.	teddy	blanket	2	BECAUSE	
3VJ4PFXFJ35IY4DZ93MZWK8XC3SAUR-1	The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was comforting.	teddy	blanket	1	BECAUSE	
38Z7YZ2SB5GK6IONOG67VFN0CNPIQ1-2	John cared for the pot while it was being transported in the box but it eventually got broken. The _ is hard.	pot	box	2	_	
38Z7YZ2SB5GK6IONOG67VFN0CNPIQ1-1	John cared for the pot while it was being transported in the box but it eventually got broken. The _ is fragile.	pot	box	1	_	
3R5OYNIC2C7ALV4CYHEMHJBQSDLPTZ-1	Donald offered Leslie their last stick of  mint gum as _ had a minty breath already.	Donald	Leslie	1	_	
3R5OYNIC2C7ALV4CYHEMHJBQSDLPTZ-2	Donald offered Leslie their last sick some mint gum as _ had a stinky breath already.	Donald	Leslie	2	_	
3ZZAYRN1I6PS0VSBJH17SJ60DNOTOA-2	After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with low calorie sweetener and the judges went by taste.	Samuel	Kyle	2	_	
3ZZAYRN1I6PS0VSBJH17SJ60DNOTOA-1	After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with high calorie sweetener and the judges went by taste.	Samuel	Kyle	1	_	
3RKHNXPHGWUOAHMLLUZOQYBTHGGKUC-1	Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ liked her.	Felicia	Christine	1	BECAUSE	
3RKHNXPHGWUOAHMLLUZOQYBTHGGKUC-2	Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ she was not lesbian.	Felicia	Christine	2	BECAUSE	
30F94FBDNTYNBQ29ZA8LEXU9ZY4BTJ-1	Matthew wants to sell Kevin tickets to the football game because _ needs the money.	Matthew	Kevin	1	BECAUSE	
30F94FBDNTYNBQ29ZA8LEXU9ZY4BTJ-2	Matthew wants to sell Kevin tickets to the football game but _ has no money.	Matthew	Kevin	2	_	
3TRB893CSLOW49DD2TXYACTOQQKG7W-2	Elena told Natalie to put the hood of her jacket up because _ was likely to get cold.	Elena	Natalie	2	BECAUSE	
3TRB893CSLOW49DD2TXYACTOQQKG7W-1	Elena told Natalie to put the hood of her jacket up because _ didn't want her to get cold.	Elena	Natalie	1	BECAUSE	
30Y6N4AHYRA3A8N19HUW98HSF1TDRY-1	Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ decided to make another.	Lawrence	Randy	1	_	
30Y6N4AHYRA3A8N19HUW98HSF1TDRY-2	Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ offered to make another.	Lawrence	Randy	2	_	
35F6NGNVMAX09EZJMTW59V8EHIR7TU-1	The node on the head needed medication applied to its area because the _ was swollen.	node	medication	1	BECAUSE	
35F6NGNVMAX09EZJMTW59V8EHIR7TU-2	The node on the head needed medication applied to its area because the _ would contract it.	node	medication	2	BECAUSE	
3Y3CZJSZ9KRTC691AD0DJY5RDO45RP-1	Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were better received.	checks	clothes	1	_	
3Y3CZJSZ9KRTC691AD0DJY5RDO45RP-2	Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were worse received.	checks	clothes	2	_	
3KI0JD2ZU3WU7GO7QGOCYLG0X3C670-2	Matthew offered to help write a fitness plan for Christopher because _ was out of shape.	Matthew	Christopher	2	BECAUSE	
3KI0JD2ZU3WU7GO7QGOCYLG0X3C670-1	Matthew offered to help write a fitness plan for Christopher because _ was a personal trainer.	Matthew	Christopher	1	BECAUSE	
3QO7EE372Q1AJAAHI6EQ9SJMFJ1QB0-1	The waves destroyed the garage but left the house intact because the _ was so close to the shore.	garage	house	1	BECAUSE	
3QO7EE372Q1AJAAHI6EQ9SJMFJ1QB0-2	The waves destroyed the garage but left the house intact because the _ was so far from the shore.	garage	house	2	BECAUSE	
3Z56AA6EK4YYYUWNAOE1P5PHYGD6ME-2	Katrina sells Maria a rug at the local flea market because _ is a customer.	Katrina	Maria	2	BECAUSE	
3Z56AA6EK4YYYUWNAOE1P5PHYGD6ME-1	Katrina sells Maria a rug at the local flea market because _ is a vendor.	Katrina	Maria	1	BECAUSE	
3UUSLRKAUL1EY04FG5KQCT2JPT87D0-2	Joan's grandmother always wanted a hug and a kiss, but Joan preferred the _ because she was afraid of germs.	kiss	hug	2	BECAUSE	
3UUSLRKAUL1EY04FG5KQCT2JPT87D0-1	Joan's grandmother always wanted a hug and a kiss, but Joan didn't like the _ because she was afraid of germs.	kiss	hug	1	BECAUSE	
35ZRNT9RUIWN1EUH42VGA622O6G3OD-2	The library kept an enormous collection of novels but not comics because the _ were dull.	novels	comics	2	BECAUSE	
35ZRNT9RUIWN1EUH42VGA622O6G3OD-1	The library kept an enormous collection of novels but not comics because the _ were popular.	novels	comics	1	BECAUSE	
3DGDV62G7QNVVL96Z06Q8UQ9I1WP28-1	Carrie's store has more loyal customers than Patricia's store does because _ 's store is older.	Carrie	Patricia	1	BECAUSE	comparaison degré
3DGDV62G7QNVVL96Z06Q8UQ9I1WP28-2	Carrie's store has more loyal customers than Patricia's store does because _ 's store is newer.	Carrie	Patricia	2	BECAUSE	comparaison degré
3N2YPY1GI6WL1WJBUYYQOP07687EVK-1	Christine didn't pass the lie detection test that Jessica did because _ had something to hide.	Christine	Jessica	1	BECAUSE	
3N2YPY1GI6WL1WJBUYYQOP07687EVK-2	Christine didn't pass the lie detection test that Jessica did because _ had nothing to hide.	Christine	Jessica	2	BECAUSE	
3DW3BNF1GJWJMK8R1TOQODSUPG9V83-1	Carrie faced the fan away from Angela because _ was getting too warm in the kitchen.	Carrie	Angela	1	BECAUSE	
3DW3BNF1GJWJMK8R1TOQODSUPG9V83-2	Carrie faced the fan toward Angela because _ was getting too warm in the kitchen.	Carrie	Angela	2	BECAUSE	
3OZ4VAIBEXDTCC538Z9HL5DZBHAJVJ-1	The winter made Jason's hands dry, but not Leslie's, since _ always forgot to moisturize at night.	Jason	Leslie	1	_	
3OZ4VAIBEXDTCC538Z9HL5DZBHAJVJ-2	The winter made Jason's hands dry, but not Leslie's, since _ never forgot to moisturize at night.	Jason	Leslie	2	_	
3SU800BH86QALKKGYZJLMKN2B7IQUL-2	Because Carrie lost a bet to Cynthia over the basketball game, _ spent hours having the cleaning done for them.	Carrie	Cynthia	2	_	
3SU800BH86QALKKGYZJLMKN2B7IQUL-1	Because Carrie lost a bet to Cynthia over the basketball game, _ spent hours doing the cleaning.	Carrie	Cynthia	1	_	
3S4TINXCC0LS49YUJVAMSP0ECY1BOK-2	I would rather listen to the radio than watch the TV at night since I find the _ disruptive.	radio	TV	2	_	comparaison préférence
3S4TINXCC0LS49YUJVAMSP0ECY1BOK-1	I would rather listen to the radio than watch the TV at night since I find the _ soothing.	radio	TV	1	_	comparaison préférence
3OLZC0DJ8LTCBQK4AF0H12M7R93VIR-1	Randy started his own business while Ryan worked for someone else so _ had self-employment taxes.	Randy	Ryan	1	_	
3OLZC0DJ8LTCBQK4AF0H12M7R93VIR-2	Randy started his own business while Ryan worked for someone else so _ had W4 taxes.	Randy	Ryan	2	_	
3NI0WFPPIBUGP5ON5H33J66DPUU60Y-2	Her boyfriend regretted buying her a jacket and got her a new hat instead, as he knew she thought the _ was a perfect match for her wardrobe.	jacket	hat	2	_	
3NI0WFPPIBUGP5ON5H33J66DPUU60Y-1	Her boyfriend regretted buying her a jacket and got her a new hat instead, as he knew she thought the _ was a bad match for her wardrobe.	jacket	hat	1	_	
3OID399FXG5RDTJLYOI20LF0NKKDF9-2	Monica wanted to use a vacuum to clean the floor, but Victoria wanted to use a broom. _ cleaned the floor much slower.	Monica	Victoria	2	_	
3OID399FXG5RDTJLYOI20LF0NKKDF9-1	Monica wanted to use a vacuum to clean the floor, but Victoria wanted to use a broom. _ cleaned the floor much quicker.	Monica	Victoria	1	_	
31ANT7FQN80GNCVYE8OJ5U3LQG1H51-1	I used several sprays to get rid of the bedbugs but they didn't work, because the _ were powerless.	sprays	bedbugs	1	BUT/BECAUSE + _ was + adv degré/nom	
31ANT7FQN80GNCVYE8OJ5U3LQG1H51-2	I used several sprays to get rid of the bedbugs but they didn't work, because the _ were powerful.	sprays	bedbugs	2	BUT/BECAUSE + _ was + adv degré/nom	
3O0M2G5VC8GK6C8MMPTHFJNRVLL49F-1	Monica enjoyed watching Western films while Natalie enjoyed romantic ones more because _ grew up on a farm.	Monica	Natalie	1	Because	
3O0M2G5VC8GK6C8MMPTHFJNRVLL49F-2	Monica enjoyed watching Western films while Natalie enjoyed romantic ones more because _ grew up watching soap operas.	Monica	Natalie	2	Because	
3V8JSVE8Y04HZFDNJ7XANMS9HPVYEB-1	There were more books at the library than at the bookstore because the _ was bigger.	library	bookstore	1	MORE THAN + BUT/BECAUSE	comparaison degré
3V8JSVE8Y04HZFDNJ7XANMS9HPVYEB-2	There were more books at the library than at the bookstore because the _ was smaller.	library	bookstore	2	MORE THAN + BUT/BECAUSE	comparaison degré
3WRBLBQ2GR63S9EMXW0P3ZVTPV4G0C-2	Drawing was a talent of Sarah but not Carrie so _ was always eager to see her artwork .	Sarah	Carrie	2	_	
3WRBLBQ2GR63S9EMXW0P3ZVTPV4G0C-1	Drawing was a talent of Sarah but not Carrie so _ was always eager to show her her artwork .	Sarah	Carrie	1	_	
3RZS0FBRWK8TZE21CVJWS9BMZ6JPC3-2	Emily spent a lot of money on their smartphone but Rachel bought a cheap one because _ was very dowdy.	Emily	Rachel	2	BUT/BECAUSE + _ was + adv degré/nom	
3RZS0FBRWK8TZE21CVJWS9BMZ6JPC3-1	Emily spent a lot of money on their smartphone but Rachel bought a cheap one because _ was very stylish.	Emily	Rachel	1	BUT/BECAUSE + _ was + adv degré/nom	
3ACRLU860PSLM7KC9FJQFBU9XUOBEF-2	Tea and coffee should be drunk out of different vessels, cups and mugs respectively. Coffee is usually served in the _ , with milk and sometimes sugar.	cup	mug	2	_	
3ACRLU860PSLM7KC9FJQFBU9XUOBEF-1	Tea and coffee should be drunk out of different vessels, cups and mugs respectively. Tea is usually served in the _ , with milk and sometimes sugar.	cup	mug	1	_	
32PT7WK7DOTBR62ZYRT0RAEC9NDD3U-1	Neil asked Michael what it was like to go to war because _ was a pacifist.	Neil	Michael	1	BUT/BECAUSE + _ was + adv degré/nom	
32PT7WK7DOTBR62ZYRT0RAEC9NDD3U-2	Neil asked Michael what it was like to go to war because _ was ex-military.	Neil	Michael	2	BUT/BECAUSE + _ was + adv degré/nom	
3UEDKCTP9X416V9WSKID84LHXNJ7K4-2	I went into the mine looking for diamonds but all I found was quartz and topaz.  I settled on the _ because it was almost clear.	topaz	quartz	2	0	
3UEDKCTP9X416V9WSKID84LHXNJ7K4-1	I went into the mine looking for diamonds but all I found was quartz and topaz.  I settled on the _ because it shined yellow.	topaz	quartz	1	0	
3D3B8GE892PR1GVY0B95QJAEY279P0-2	The chef thinks it's more healthy to eat apples than beets, so he hates putting the _ in his smoothies.	apples	beets	2	_	comparaison degré
3D3B8GE892PR1GVY0B95QJAEY279P0-1	The chef thinks it's more healthy to eat apples than beets, so he likes putting the _ in his smoothies.	apples	beets	1	_	comparaison degré
37VE3DA4YUFICSC7FIFW8G3DVYNHB5-1	Jennifer was at risk of encountering a shark during their swim, but Emily was not, because _ swam in the ocean.	Jennifer	Emily	1	BUT (NOT)/ instead + BECAUSE	
37VE3DA4YUFICSC7FIFW8G3DVYNHB5-2	Jennifer was at risk of encountering a shark during their swim, but Emily was not, because _ swam in the lake.	Jennifer	Emily	2	BUT (NOT)/ instead + BECAUSE	
3EQVJH0T40JI8E6OF46H8A9Z6IJHTM-1	The documents contained in the files could not fit properly. The _ were too small.	Files	Documents	1	_	
3EQVJH0T40JI8E6OF46H8A9Z6IJHTM-2	The documents contained in the files could not fit properly. The _ were too large.	Files	Documents	2	_	
35ZRNT9RUIWN1EUH42VGA622JTGO33-1	Avid bookworms, Lawrence read fiction while Jason read non-fiction. _ liked to escape into an imaginary world.	Lawrence	Jason	1	_	
35ZRNT9RUIWN1EUH42VGA622JTGO33-2	Avid bookworms, Lawrence read fiction while Jason read non-fiction. _ struggled to escape into an imaginary world.	Lawrence	Jason	2	_	
3P888QFVX3SF8F0J2D7CNEVDYXFOQK-1	Mary only wore stripes to work and not plaids because the _ made her look sloppy.	plaids	stripes	1	BECAUSE	
3P888QFVX3SF8F0J2D7CNEVDYXFOQK-2	Mary only wore stripes to work and not plaids because the _ made her look professional.	plaids	stripes	2	BECAUSE	
3IZVJEBJ6CYDRQUD9BGVP59Y6LBZ6I-2	The bumper on the car shone brighter than the handle on the car because the _ was dirtier.	bumper	handle	2	BECAUSE	
3IZVJEBJ6CYDRQUD9BGVP59Y6LBZ6I-1	The bumper on the car shone brighter than the handle on the car because the _ was cleaner.	bumper	handle	1	BECAUSE	
3ECKRY5B1SATKAPEBCPKM8Z4GNJZIE-2	Ian is making a pool party for Neil and needs to raise pH in a pool, so _ could safely enjoy party.	Ian	Neil	2	_	
3ECKRY5B1SATKAPEBCPKM8Z4GNJZIE-1	Ian is making a pool party for Neil and needs to raise pH in a pool, so _ buys pH raising preparates.	Ian	Neil	1	_	
